Latitude,Longitude,Building,HP,Fuel
43.0756925,-89.4121618,Microbial Sciences (MSB),2680.965147,Diesel
43.0757388,-89.4087644,Nancy Nicholas Hall/Human Ecology,335.1206434,Diesel
43.0688898,-89.4065277,Primate Annex Building,335.1,Diesel
43.0744366,-89.4058014,Sterling Hall,355.227882,Diesel
43.0716818,-89.4081282,Union South,475.8713137,Diesel
43.07458825,-89.420964,Vet Diagnostics (WVDL),563.002681,Diesel
43.0787169,-89.4338719,Waisman Center,469.1689008,Diesel
43.0780166,-89.4315123,WIMR,2680.965147,Diesel
43.0780166,-89.4315123,WIMR,2680.965147,Diesel
43.073737,-89.4140208,Wisconsin Energy Institute (WEI),1420.911528,Diesel
43.072902,-89.408087,Wisconsin Institute Discovery (WID),2026.809651,Diesel
43.0718801,-89.3972428,Witte Hall,1340.482574,Diesel
43.0711993,-89.4065681,Computer Sci Roof #1,804.2895442,Diesel
43.0711993,-89.4065681,Computer Sci Roof #2,804.2895442,Diesel
43.0725942,-89.4046935,Chemistry Addition,2010.723861,Diesel
43.0704976,-89.3983054,Gym III (Nicholas Rec Center),268.0965147,Diesel
43.0762517,-89.4187431,Meat Science & Animal Biologics Discovery,201.0723861,Diesel
43.07458825,-89.420964,Vet Med Expansion - Pending,1206.434316,Diesel
43.077065,-89.4200729,Bakke Recreation & Wellbeing Center,335.1206434,Diesel
43.0716783,-89.4003409,Sellery Hall,1202.412869,Diesel
43.0753512,-89.4064607,Van Hise Hall,536.1930295,Diesel
43.0735027,-89.408608,CDIS Building,1340.482574,Diesel
